roi_idx,roi_token,atlas,dopamine_bucket,confidence,note
0,FP_R,HO_cortical,other,na,not in the cortico-striato-mesencephalic dopamine reward circuit [Haber&Knutson2010]
1,FP_L,HO_cortical,other,na,not in the cortico-striato-mesencephalic dopamine reward circuit [Haber&Knutson2010]
2,IC_R,HO_cortical,other,na,not in the cortico-striato-mesencephalic dopamine reward circuit [Haber&Knutson2010]
3,IC_L,HO_cortical,other,na,not in the cortico-striato-mesencephalic dopamine reward circuit [Haber&Knutson2010]
4,SFG_R,HO_cortical,da_projection_cortex,mesocortical,dlPFC (HO Superior Frontal Gyrus); dorsal-PFC mesocortical DA target [DiMartino2008 DC<->dlPFC; Cole2013b]
5,SFG_L,HO_cortical,da_projection_cortex,mesocortical,dlPFC (HO Superior Frontal Gyrus); dorsal-PFC mesocortical DA target [DiMartino2008 DC<->dlPFC; Cole2013b]
6,MidFG_R,HO_cortical,da_projection_cortex,mesocortical,dlPFC (HO Middle Frontal Gyrus); dorsal-PFC mesocortical DA target [DiMartino2008 DC<->dlPFC; Cole2013b]
7,MidFG_L,HO_cortical,da_projection_cortex,mesocortical,dlPFC (HO Middle Frontal Gyrus); dorsal-PFC mesocortical DA target [DiMartino2008 DC<->dlPFC; Cole2013b]
8,IFGtri_R,HO_cortical,other,na,not in the cortico-striato-mesencephalic dopamine reward circuit [Haber&Knutson2010]
9,IFGtri_L,HO_cortical,other,na,not in the cortico-striato-mesencephalic dopamine reward circuit [Haber&Knutson2010]
10,IFGoper_R,HO_cortical,other,na,not in the cortico-striato-mesencephalic dopamine reward circuit [Haber&Knutson2010]
11,IFGoper_L,HO_cortical,other,na,not in the cortico-striato-mesencephalic dopamine reward circuit [Haber&Knutson2010]
12,PreCG_R,HO_cortical,other,na,not in the cortico-striato-mesencephalic dopamine reward circuit [Haber&Knutson2010]
13,PreCG_L,HO_cortical,other,na,not in the cortico-striato-mesencephalic dopamine reward circuit [Haber&Knutson2010]
14,TP_R,HO_cortical,other,na,not in the cortico-striato-mesencephalic dopamine reward circuit [Haber&Knutson2010]
15,TP_L,HO_cortical,other,na,not in the cortico-striato-mesencephalic dopamine reward circuit [Haber&Knutson2010]
16,aSTG_R,HO_cortical,other,na,not in the cortico-striato-mesencephalic dopamine reward circuit [Haber&Knutson2010]
